avibase_id,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB
AVIBASE-80897D19,673.5,0.0,,,Coastal,Carnivore,"PL,CP",No,Invertivore
AVIBASE-7D8BF5CC,1443.75,0.0,,,Coastal,Carnivore,CP,No,Invertivore
AVIBASE-F3D74914,1507.5,0.0,100.0,100.0,Marine,Carnivore,"CP,SC",No,Invertivore
AVIBASE-B77377EE,2042.83333,0.0,,,Marine,Carnivore,CP,No,Invertivore
AVIBASE-BCBD2EAE,553.0,0.0,1890.0,1890.0,Riverine,Carnivore,CP,No,Invertivore
AVIBASE-624078BA,1019.75,0.0,800.0,800.0,Wetland,Carnivore,CP,No,Invertivore
AVIBASE-BAF44E36,1635.16667,0.0,3000.0,3000.0,Wetland,Carnivore,SC,No,Invertivore
AVIBASE-4800D6B6,1647.16667,0.0,,,Wetland,Carnivore,SC,No,Invertivore
AVIBASE-1A601D86,1267.5,0.0,2300.0,2300.0,Forest,Carnivore,SC,No,Invertivore
AVIBASE-24698199,1127.25,0.0,700.0,700.0,Wetland,Carnivore,SC,No,Invertivore
AVIBASE-B7B1A5DD,1046.1,0.0,,,Wetland,Carnivore,SC,No,Invertivore
AVIBASE-AF0C7BDE,782.0,0.0,,,Wetland,Carnivore,SC,No,Invertivore
AVIBASE-FB738385,400.5,0.0,2500.0,2500.0,Wetland,Carnivore,CV,No,Invertivore
