eBird species code 2019,Com_name,Sci_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
sulboo1,Sulu Boobook,Ninox reyi,nominate,151476681,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.112,0.019,0.018,0.069,0,0.02,0.02,0.019,0.023,0.033,0.024,0.002,0.016,0.126,0.033,0.193,0.041,0.015,0.024,0,0.091,0.003,0.016,0.083
sumboo1,Sumba Boobook,Ninox rudolfi,nominate,151476471,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.097,0.024,0.035,0.056,0,0.021,0.03,0.058,0.006,0.008,0.031,0.003,0.036,0.094,0.064,0.123,0.021,0.05,0.006,0,0.105,0,0.039,0.093
rufowl2,Rufous Owl,Ninox rufa,nominate,151476401,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.081,0.012,0.02,0.055,0,0.012,0.025,0.03,0.001,0.003,0.016,0.005,0.025,0.101,0.046,0.096,0.069,0.03,0.002,0,0.238,0.001,0.029,0.103
rufowl2,Rufous Owl,Ninox rufa,queenslandica,151476411,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.125,0.022,0.021,0.086,0,0.005,0.025,0.04,0.001,0.001,0.029,0,0.026,0.081,0.059,0.164,0.034,0.035,0.002,0,0.127,0,0.039,0.078
rufowl2,Rufous Owl,Ninox rufa,nominate,151476431,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.119,0.023,0.01,0.112,0,0.029,0.012,0.029,0.046,0.031,0.065,0.01,0.016,0.107,0.077,0.133,0.011,0.006,0.022,0,0.072,0,0.018,0.052
cebboo1,Cebu Boobook,Ninox rumseyi,nominate,151476691,Hilary Burn,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.052,0.034,0.105,0.045,0,0.005,0.014,0.112,0.009,0.015,0.047,0,0.022,0.07,0.107,0.026,0.012,0.168,0,0,0.024,0,0.047,0.086
brnhao1,Brown Boobook,Ninox scutulata,nominate,151476611,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.037,0.009,0.041,0.02,0,0.002,0.018,0.023,0.006,0.003,0.002,0.007,0.02,0.101,0.011,0.066,0.156,0.019,0.001,0,0.318,0,0.016,0.124
brnhao1,Brown Boobook,Ninox scutulata,burmanica,153735111,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.067,0.016,0.031,0.032,0,0.001,0.011,0.017,0.004,0.004,0.003,0.005,0.013,0.126,0.017,0.129,0.086,0.021,0.002,0,0.296,0,0.021,0.098
minboo1,Mindanao Boobook,Ninox spilocephala,nominate,151476661,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.117,0.017,0.002,0.12,0,0.015,0.015,0.002,0.015,0.075,0.028,0.002,0.007,0.135,0.038,0.182,0.042,0.006,0.084,0,0.056,0.001,0.01,0.031
romboo1,Romblon Boobook,Ninox spilonotus,nominate,151476711,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.094,0.008,0.016,0.049,0,0.002,0.011,0.009,0.021,0.023,0.006,0.001,0.012,0.151,0.017,0.15,0.046,0.017,0.004,0,0.241,0.001,0.012,0.109
molhao4,Hantu Boobook,Ninox squamipila,hantu,151476801,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.049,0.007,0.002,0.015,0,0.007,0.007,0.006,0.015,0.153,0.003,0.001,0.004,0.115,0.007,0.36,0.006,0.004,0.073,0,0.098,0,0.004,0.064
molhao4,Hantu Boobook,Ninox squamipila,nominate,151476821,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.06,0.018,0.008,0.027,0,0.007,0.008,0.011,0.006,0.005,0.009,0,0.015,0.097,0.016,0.289,0.019,0.011,0.005,0,0.26,0,0.007,0.122
powowl1,Powerful Owl,Ninox strenua,nominate,151476441,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.094,0.037,0.021,0.074,0,0.028,0.041,0.046,0.005,0.001,0.038,0.011,0.06,0.107,0.081,0.103,0.013,0.043,0,0,0.083,0.001,0.049,0.064
lishao1,Least Boobook,Ninox sumbaensis,nominate,151476731,Hilary Burn,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.104,0.028,0.086,0.094,0,0.023,0.026,0.127,0,0,0.039,0.002,0.033,0.072,0.101,0.041,0.001,0.112,0,0,0.014,0,0.062,0.035
junhao1,Papuan Boobook,Ninox theomacha,goldii,151476871,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.048,0.01,0.003,0.029,0,0.002,0.008,0.008,0.005,0.017,0.007,0.003,0.013,0.097,0.004,0.318,0.048,0.004,0.079,0,0.197,0,0.006,0.094
